test,biterror1,biterror2,acc
0.0,0.125,0.125,26.666666666666668
0.0,0.125,0.000244140625,48.333333333333336
0.0,0.000244140625,0.125,62.5
0.0,0.000244140625,0.000244140625,92.5
1.0,0.125,0.125,22.5
1.0,0.125,0.000244140625,57.49999999999999
1.0,0.000244140625,0.125,70.83333333333334
1.0,0.000244140625,0.000244140625,95.0
